ADGRB3,ADGRG4,ADGRL2,ADH1B,ALB,ALX1,AMBN,ANGPTL1,ANGPTL7,APOBEC2,ARHGAP10,ARMC9,ARSF,ASB14,ATP23,ATP8B5P,ATXN3L,BCO2,BEND7,BTNL3,C12orf40,C16orf78,C6orf141,CALR3,CCL23,CCNB3,CDH12,CDKL2,CFAP57,CFTR,CHSY3,CLDN1,CLDN10,CLDN14,CLDN4,CLRN3,CLSTN2,CNGB3,CPE,CPSF4L,CPXCR1,CSMD3,CT83,CYP39A1,CYP51A1,DAO,DEFB112,DGAT2L6,DLGAP5,DNAH14,EBLN1,EFCAB5,ELMOD1,ERICH1,ERICH3,FAM227B,FAM228A,FER1L6-AS1,FLJ42627,FMN1,FREM2,GABRG3,GLRB,GPC4,GSTM1,H2AC13,HLA-DPB2,HOOK2,HSPA2,IGF1,IGHV7-81,IL4,IMMP1L,INA,KCNIP1,KL,KRTAP19-7,LENEP,LGR6,LINC00469,LINC00652,LINC00917,LINC01446,LINC02877,LIPJ,LOC645188,LUZP4,MAGEE2,MARCHF11,MARK1,MASP1,MDGA2,MIA2,MIR128-1,MIR130A,MIR299,MMP26,MROH8,MS4A2,MUC21,NAT1,NID2,NKX2-2,NPHS2,NRM,NUDT9P1,NXPE4,OAZ3,OPN5,OR10T2,OR12D2,OR1L6,OR2L8,OR4A47,OR4A5,OR51F2,OR6C76,OR6K2,OR7G1,OR8D4,OR8G2P,PARPBP,PCDHA1,PCDHB14,PDE11A,PDZD9,PPEF1,PRELID2,PRTFDC1,PSG11,PTGR1,RAB13,RAD9B,RASEF,RFPL1,RFPL3,RGS1,RHCE,RNF182,RNVU1-17,RPGRIP1L,RTN4RL1,SCGB1D2,SCGB2A2,SEL1L2,SFTA2,SHISAL2B,SKA1,SKA2,SLC10A1,SLC15A1,SLC17A6,SLC7A11,SNORA70F,SNORD115-8,SNORD116-12,SNORD13P1,SPATA41,SPRR2A,SPRR2B,STC2,STK31,SULF1,SYCE2,SYT6,TAAR3P,TAS2R43,TCEAL9,TDRG1,TFDP3,THAP5P1,TLL1,TMEM144,TMEM171,TMTC1,TRPC6,UGT2B10,VN1R10P,ZDHHC15,ZFP37,ZNF22-AS1,ZNF311,ZNF423,ZNF667-AS1,ZNF724,ZPBP,ZSCAN4
4.7535,4.3651,3.835,4.9646,4.3685,4.4689,4.1472,4.3169,4.8948,5.0757,5.9054,4.7321,4.2366,4.4135,5.5486,4.3423,3.62,5.6793,4.3919,4.7319,3.7034,4.7027,4.7704,4.8352,4.9435,4.5951,4.3646,4.5243,5.3794,4.1363,4.9232,4.3784,4.402,5.6149,5.3195,4.0371,5.6407,4.5345,4.9397,4.0027,3.1825,4.1072,5.3796,3.9566,6.769,4.8077,3.512,5.2247,4.8385,3.3673,4.3845,5.0752,4.6246,5.19,4.2025,4.433,4.6092,4.3237,7.4467,5.4134,3.8958,4.4654,3.7633,4.1018,5.6119,3.1361,5.1651,5.9081,5.6009,3.9419,5.2846,4.5558,5.5894,5.2785,4.9558,5.2439,3.6695,6.4379,5.898,4.3379,5.4981,5.4904,3.5851,4.3274,3.749,3.321,4.0806,4.7165,3.9134,4.5544,5.2155,4.0092,3.4384,4.8034,4.5979,3.8946,4.1859,4.6446,4.8047,4.0201,3.9782,5.3344,5.7148,5.4931,3.0548,4.08,5.0596,4.8367,5.1627,5.3901,4.3742,3.2143,6.5419,3.5415,4.4931,5.4312,4.9037,5.4679,5.4417,4.2587,4.0905,3.9772,5.3896,4.4838,4.6188,4.1765,3.8397,4.7575,4.3278,3.2894,4.5102,6.0116,4.2388,4.5116,4.2211,4.7528,4.4044,4.0883,4.7426,3.4843,5.0856,5.2926,4.6947,3.9508,4.9956,4.5537,4.0593,3.7421,6.0932,5.7337,5.3506,3.8682,4.287,4.6303,2.9212,4.413,3.3455,6.2212,4.5139,4.2397,5.333,4.3622,4.1363,5.995,5.2172,4.9581,4.5388,4.2375,4.9177,3.9803,2.8058,5.1611,5.1998,5.1416,4.7853,5.0249,3.2176,4.235,4.9554,4.451,4.9598,4.1357,5.5682,6.753,5.5847,3.6756,3.7271
4.7772,4.4087,3.8353,5.3065,4.4568,4.6159,3.9371,4.3778,4.6731,5.0241,5.9784,4.6129,4.4437,4.3032,5.6315,4.2414,3.6949,5.7869,4.4392,4.7194,3.5396,4.4283,4.8922,5.0054,4.9022,4.5633,4.4409,4.4933,5.5473,4.0129,5.0312,4.4794,4.3878,5.5641,5.2846,3.9468,5.5389,4.38,4.8465,4.0028,3.1553,4.133,5.5305,3.908,7.0239,4.7279,3.4853,4.9656,4.9676,3.6671,4.676,5.1984,4.396,5.2039,4.3121,4.4787,4.4646,4.5844,6.0906,5.3517,3.912,4.3816,3.5161,4.3091,5.4637,3.2167,5.0338,6.0545,5.8804,3.7551,5.0994,4.6729,5.3386,5.2558,4.7066,5.0974,3.7716,6.4906,5.8325,4.2245,5.1786,5.6538,3.9113,4.396,3.6135,3.0946,4.0313,5.0702,4.1663,4.1697,5.4335,4.3958,3.3111,4.7663,4.315,3.9485,4.0223,4.8806,4.8264,3.9458,4.2305,5.3049,5.2464,5.2657,3.4588,3.7651,4.5184,4.5924,5.1268,5.3369,4.5927,3.4461,6.4381,3.4478,4.6456,5.4359,4.8013,5.6069,5.47,4.2454,4.0926,4.0443,4.4343,4.7373,4.9612,4.1578,3.9887,4.7903,4.0669,3.3088,4.464,5.9257,4.3745,4.5416,4.3885,4.789,4.1237,4.5276,4.5607,2.9664,4.8424,4.8844,4.632,3.8175,4.5751,4.7112,4.2791,3.8528,5.8938,5.8248,5.2804,4.0468,4.3291,4.5598,2.9255,4.3473,3.6708,6.1678,4.7389,4.0851,5.4211,4.2611,4.4419,5.353,5.236,4.9985,4.3808,4.0261,5.0797,4.1061,2.9525,5.3386,5.0731,5.0639,4.915,4.8664,3.0033,4.1719,4.9741,4.5028,5.109,4.3564,5.3469,6.9201,5.449,3.6731,3.6693
4.8073,4.4501,3.7313,5.17,4.3479,4.6914,3.7551,4.4994,4.7986,4.9325,5.9412,4.6064,4.5168,4.6315,5.7019,4.1862,3.7477,5.3467,4.4715,4.7181,3.7443,4.4256,4.9751,5.0622,5.0757,4.6194,4.1567,4.3659,5.3211,4.0332,4.6295,4.3752,4.4438,5.4766,5.2733,3.7913,5.6324,4.4643,4.6824,3.7246,3.4348,4.1626,5.4562,3.9542,6.9631,4.7337,3.395,5.2414,4.8847,3.5822,4.4244,5.1591,4.2912,5.329,4.0322,4.5934,4.656,4.3525,5.6142,5.1439,3.8008,4.3455,3.4266,4.1212,5.6347,3.3538,5.0504,5.9379,5.7283,4.0545,5.197,4.5139,5.3782,5.3058,4.8943,5.104,3.9357,6.5484,5.917,4.1877,5.1765,5.3214,3.8449,4.2811,3.5374,3.3004,4.1774,4.875,4.3474,4.331,5.2017,3.9421,3.3449,4.6029,4.3248,3.8496,4.3082,4.853,5.0588,4.2127,4.04,5.4733,5.6876,5.4836,3.2405,3.7969,4.4764,4.8256,5.2446,5.2837,4.0859,3.2991,5.9568,3.7626,4.4882,5.2935,4.7195,5.5909,5.618,4.1244,4.4468,3.969,5.1885,4.8098,4.9344,4.1522,3.8197,4.9171,4.1561,3.3474,4.271,5.2595,4.3126,4.3302,4.0812,4.2498,4.4815,4.1508,4.4932,3.094,4.7503,4.8397,4.8177,3.7843,4.7736,4.5481,4.3527,3.7942,5.93,6.0738,5.0803,4.0048,4.1505,4.5461,3.0429,4.5321,3.4519,6.4017,4.8715,4.4043,5.4624,4.2949,4.1482,5.6735,5.278,5.0127,4.3955,4.1083,4.7987,4.0328,2.6803,5.2555,5.1819,5.2129,4.7442,4.7703,3.2363,4.4117,4.7549,4.5465,5.0647,4.2625,5.5008,6.7769,5.946,3.8314,3.6898
4.895,4.5138,3.7677,5.2106,4.4245,4.6615,3.8988,4.3457,4.8186,5.2132,6.0362,4.6195,4.5931,4.5471,5.8202,4.2522,4.0115,5.6824,4.7833,4.4634,3.2767,4.5249,4.8962,5.0523,5.0446,4.5868,4.3888,4.4814,5.2696,3.9452,5.3069,4.2283,4.3342,5.973,5.0585,3.8827,5.4103,4.4244,4.7341,4.1532,3.3277,4.1878,5.3177,4.083,6.9551,4.8361,3.8149,4.9422,5.1044,3.7204,4.359,5.2392,4.575,5.1277,4.3811,4.4582,4.6372,4.2881,7.4156,5.2744,3.9047,4.6484,3.6477,4.2223,5.381,3.2234,5.3185,6.3021,5.9482,4.1565,5.1498,4.6492,5.3674,5.1614,4.6405,5.4492,3.7569,6.4273,6.0404,4.5078,5.4178,5.7405,3.8088,4.6397,3.6855,3.5118,3.9758,5.1071,4.1528,4.1697,5.0371,4.1843,3.3955,4.7848,4.7646,3.6826,4.2542,5.2019,4.8868,3.7521,4.013,5.4694,5.8224,5.1958,2.8861,3.8175,4.6536,4.6305,5.308,5.4555,4.1815,3.4906,6.7509,3.9423,4.3901,5.6079,5.0872,5.3291,5.5107,3.8577,4.0556,3.8621,5.6066,4.751,4.9429,4.0653,3.6742,5.1102,4.2602,3.2871,4.5906,5.4826,4.4027,4.3924,3.8921,4.6577,4.2607,4.209,4.6512,3.0242,4.9199,5.124,4.9224,3.908,4.762,4.7546,3.9864,3.7536,5.9044,5.731,5.1683,4.0465,4.1402,4.3767,3.292,4.4783,3.3073,6.2488,4.8788,4.0259,5.4115,4.223,4.2601,5.8236,5.4566,4.8534,4.6436,3.9741,4.8741,4.048,2.6552,5.3564,5.2886,5.0029,4.7155,4.771,3.2266,4.1595,4.8015,4.5937,5.0603,4.2467,5.3984,6.8578,6.0559,3.6528,3.8756
4.7769,4.5579,4.0536,5.5589,4.5568,4.5163,3.839,4.3144,4.3362,4.7538,5.1207,4.4489,4.3116,4.4988,5.515,4.3481,4.2438,5.3197,4.3767,4.5094,3.7852,4.5989,4.9878,5.2931,4.7494,4.8213,4.4125,4.1592,5.3096,4.0253,5.0345,4.5868,4.6553,5.6379,5.7339,4.0532,5.5267,4.3978,4.5592,4.2424,3.5229,3.9841,5.771,3.7595,6.7667,4.5409,3.7485,5.2489,4.855,3.4506,4.5937,5.1033,4.4305,5.2342,4.0068,4.6385,4.8611,5.104,4.5162,5.027,3.7341,3.9701,4.0275,3.71,6.0392,3.2357,4.9976,6.1629,5.6997,3.8633,6.0577,4.6512,5.0771,5.2073,4.8386,4.8237,4.0588,6.663,5.6517,4.0274,5.0116,5.1619,3.9879,4.5902,3.7541,3.7977,4.1985,4.4904,4.4743,4.1954,5.3159,4.5495,3.4377,4.8743,4.5277,3.7403,3.8992,4.8159,4.9978,3.8434,3.9503,5.0455,5.5006,5.0526,4.3465,3.8864,4.607,4.8728,5.0686,5.3472,4.5409,3.6769,6.2039,3.9836,4.5926,5.7321,5.0498,5.6147,5.5054,3.9364,4.2558,3.7502,6.3969,4.9823,5.2541,4.4676,3.7451,4.9323,4.2037,3.236,4.3075,4.9332,4.3586,4.4691,3.3194,6.2599,4.4071,4.3453,4.68,3.1627,4.5641,5.1881,4.7365,3.6575,5.0754,5.3402,4.1794,3.7424,5.8073,5.8312,5.3224,4.1031,4.1629,4.6462,3.3342,4.1118,3.1634,6.7316,4.4434,4.5365,5.0921,4.1516,4.2387,5.3631,5.1212,5.3463,4.8378,4.1389,4.8396,3.8185,2.4054,5.2963,5.0893,6.1554,4.9669,4.5046,3.5266,3.7674,4.9418,4.3276,5.0608,4.2626,5.5433,6.5327,5.7111,3.7827,3.5641
4.8195,4.5806,3.8784,4.8753,4.4922,4.2401,3.6707,4.2683,4.7025,4.7567,5.7983,4.5776,4.6856,4.6025,5.7366,4.5197,3.6118,5.4599,4.6128,4.8133,3.7007,4.5906,4.9607,5.0246,4.7563,4.5728,4.3288,4.3027,5.5067,4.0689,4.9739,4.3715,4.5672,5.5792,5.5458,3.8513,5.7984,4.3895,4.7891,4.3671,3.1713,4.0671,5.0392,4.003,6.6364,4.7986,3.4176,5.0102,5.0646,3.583,4.3304,5.3304,4.6155,4.8296,4.1033,4.7582,4.443,4.5468,6.9431,5.2657,3.7069,4.3259,3.5856,4.2312,5.5356,3.3607,5.2717,6.2449,5.7493,4.0166,5.7582,4.4529,5.7813,5.341,4.7123,5.1519,4.0221,6.4553,5.8204,4.3669,5.0273,5.9475,3.5835,4.6437,3.4455,3.3469,4.1391,4.75,4.2614,4.2988,5.2907,4.5966,3.335,4.6734,4.4097,3.8128,4.1751,4.8705,4.9643,3.6308,3.8525,5.5238,5.5056,4.8761,3.0941,3.9831,4.4186,4.7727,5.4494,5.3744,4.1725,3.612,6.6416,3.8346,4.8134,5.6192,4.9591,5.391,5.5863,4.1771,4.2843,3.9308,4.5426,4.4962,4.8638,4.1457,3.8424,4.9688,4.2011,3.3211,4.3256,5.3269,4.3066,4.7197,4.4494,5.0022,4.1946,4.1753,4.3842,3.2736,4.7606,5.0527,4.9189,3.7828,4.6707,5.5722,4.0271,3.7792,5.9895,5.7757,5.048,3.9015,4.2493,4.4938,2.8285,4.4404,3.4997,6.6542,4.9381,4.1919,4.9602,4.0173,3.8985,5.5641,5.3285,4.9687,4.7086,4.0898,4.7557,3.9347,2.6281,5.4245,4.9064,4.9204,5.021,4.6543,3.179,4.2067,5.0827,4.612,5.077,4.3733,5.3893,6.5763,5.8272,3.6812,3.3485
4.6694,4.5086,3.7461,5.0066,4.5017,4.4964,4.1112,4.3603,4.6301,5.0266,5.9088,4.5616,4.4138,4.5977,5.588,4.2268,3.6774,5.673,4.3538,4.479,3.5889,4.382,5.0289,4.9164,4.5245,4.6501,4.27,4.6754,5.6168,4.013,4.7164,4.4115,4.5631,5.6456,5.4551,3.9895,5.5453,4.2922,4.7343,4.159,3.3237,4.0339,5.9284,3.8434,7.5367,4.8265,3.531,5.0206,4.782,3.4354,4.5302,5.1115,4.6338,5.0785,4.3474,4.5773,4.5311,4.58,6.1782,5.1427,3.7663,4.1823,3.6649,3.9732,5.5605,3.1786,5.046,6.0628,5.8675,3.8558,5.3924,4.4993,5.5103,5.2327,4.9942,5.1425,3.8551,6.6064,5.8531,4.2333,5.4272,5.9209,3.7742,4.496,3.8045,3.3115,4.1493,5.0731,4.3725,4.169,5.3492,4.5991,3.2317,4.8846,4.4107,3.9586,4.2366,4.959,4.8404,4.2954,4.0647,5.3307,5.3179,5.2627,3.3144,3.9928,4.3867,4.9955,5.0876,5.4483,4.4402,3.1754,5.9866,3.9913,4.5436,5.4975,4.8265,5.5221,5.7185,4.0578,4.1618,3.9263,5.088,4.9424,4.8898,4.1239,3.9242,4.9126,4.064,3.326,4.2371,5.2782,4.5697,4.5757,4.047,5.0686,4.1817,4.4517,4.6592,2.99,4.5512,5.2541,4.8514,3.6562,4.9276,4.9846,4.0226,3.8283,5.8014,6.0101,5.4681,4.0908,4.2246,4.6432,2.9955,4.0997,3.2089,6.4651,4.7943,4.7439,5.2505,4.1236,4.2021,5.6801,5.2557,4.8318,4.4867,4.339,5.009,3.9808,2.3797,5.477,5.2251,5.3233,4.755,4.6586,3.2884,3.9786,4.8897,4.5084,5.0028,4.1874,5.3229,6.6367,5.6878,3.7566,3.8844
4.859,4.4658,3.8196,4.9454,4.5282,4.7151,3.6386,4.3008,4.7226,5.2002,5.679,4.4792,4.7609,4.5535,5.5353,4.2582,3.6991,5.4144,4.5933,4.7455,3.3374,4.5229,5.0929,4.9488,4.7854,4.7458,4.3434,4.3831,5.6227,4.2381,4.8332,4.4898,4.5023,5.625,5.4262,4.1354,5.726,4.4285,4.7324,4.1512,3.2277,3.929,5.8376,3.8248,7.339,4.5483,3.5893,5.5315,4.934,3.3937,4.5009,5.0881,4.2733,5.2432,4.25,4.5187,4.408,4.4377,6.2031,5.0614,4.063,4.1509,3.7144,4.3105,5.6518,2.9924,4.9299,6.3915,5.7226,3.8486,5.2164,4.4295,5.2899,5.4414,4.7011,5.0864,3.5607,6.252,5.8672,4.0866,5.4824,5.8851,3.9981,4.5122,3.8134,3.2279,4.3855,4.9433,4.259,4.1763,5.1406,4.4485,3.379,4.7372,4.419,4.0675,4.3122,4.8694,4.9777,3.4037,3.876,5.3729,5.6691,5.5422,3.2913,4.175,4.5428,4.6548,5.0384,5.2323,4.2497,3.4618,6.0891,4.1168,4.632,5.3575,5.0403,5.4482,5.6481,3.8066,4.1645,3.8521,5.3939,4.9595,4.9976,4.3437,3.7948,4.7728,4.1359,3.4665,4.21,5.7081,4.326,4.2139,3.3733,5.0332,4.202,4.718,4.652,3.1401,4.7448,5.0993,4.7533,3.4943,4.9982,4.8847,4.0518,3.6767,6.117,5.75,5.118,4.1922,4.2236,4.4425,2.9954,4.0997,3.4328,6.32,4.6773,4.3452,5.2779,4.2372,4.094,5.6883,5.0182,5.0809,4.6904,4.1831,4.8908,3.8849,2.4704,5.2358,5.3432,5.3275,4.9698,4.6663,3.1988,4.2773,4.9836,4.406,5.163,4.4257,5.2706,7.184,5.5768,3.7896,3.6079
4.6891,4.5054,4.0043,5.2347,4.432,4.4847,3.8346,4.2652,4.5189,4.7792,5.351,4.4748,4.4665,4.545,5.3579,4.0782,3.8893,5.5747,4.5757,4.6797,3.7123,4.5587,5.256,5.2024,4.8585,4.7523,4.3798,4.2802,5.5034,4.0138,4.8657,4.4863,4.465,5.5669,5.4712,4.0693,5.6737,4.3403,4.5338,4.2929,3.5778,4.072,5.7283,3.7769,7.2502,4.7079,3.4777,5.2249,4.7848,3.499,4.5348,4.9356,4.556,4.9956,3.9775,4.6821,4.8303,5.1624,5.5381,4.9943,3.7044,4.0545,3.7754,3.861,6.0274,3.1686,4.9972,6.0248,5.6229,3.7139,5.6053,4.535,5.2119,5.1462,4.9156,4.8959,3.7669,6.9345,5.5247,3.8711,5.2084,5.5863,3.6821,4.3989,3.7327,3.2077,4.1527,4.9016,4.3667,4.4157,5.16,4.6572,3.5197,4.7411,4.364,3.7599,4.5799,5.0343,5.0025,3.8207,4.0713,5.4417,5.3001,5.4829,3.9128,4.263,4.3907,4.9402,5.3332,5.3415,4.348,3.5664,5.9698,4.2469,4.6784,5.4731,5.0887,5.3908,5.6617,4.0113,3.6957,3.7763,5.5391,4.7552,5.2122,4.2454,3.9807,4.3644,4.0537,2.9786,4.2109,5.2693,4.3491,4.2765,3.8036,5.9207,4.6597,4.4914,4.5759,2.8855,4.6201,5.2661,4.9469,3.5815,5.2232,4.3495,4.0833,3.8935,5.9342,5.9216,5.3792,4.2026,4.3346,4.6193,3.1589,3.9703,3.244,6.6396,4.6578,4.7022,5.0985,4.2019,4.28,5.5398,5.1031,5.5037,4.4453,4.1471,4.7819,4.1046,2.547,4.9245,4.935,5.4891,4.8913,4.7035,3.5774,3.7181,4.9553,4.3331,5.2689,4.3508,5.3109,6.4637,5.9655,3.5862,3.6999
4.8042,4.4481,3.8534,5.2627,4.4851,4.4945,3.8303,4.4229,4.645,4.9336,5.5803,4.5326,4.4117,4.6573,5.481,4.2958,3.7988,5.4236,4.4749,4.6115,3.5109,4.6166,5.3031,5.0383,4.8506,4.7764,4.296,4.2778,5.4908,4.026,4.8864,4.4406,4.3192,5.8763,5.5085,3.8906,5.4933,4.2657,4.8084,4.1274,3.3579,3.9799,5.7399,3.9188,7.1501,4.772,3.6518,5.231,4.8281,3.5885,4.463,5.1492,4.658,5.2004,4.0373,4.6779,4.5071,4.6425,5.4323,5.1902,3.8274,4.4587,3.613,3.8833,5.6976,3.087,5.1317,6.1592,5.8096,3.7472,5.2431,4.6703,5.4123,5.2678,4.7781,5.1549,3.8931,6.4084,5.74,4.1025,5.369,5.4787,3.8418,4.2478,3.6236,3.2309,4.154,5.1292,4.5824,4.2472,5.5378,4.4141,3.4423,4.753,4.3253,3.6398,4.224,4.9666,4.8775,4.1943,3.8041,5.2661,5.6338,5.4738,3.4717,3.9189,4.4899,4.7296,5.0804,5.5231,4.5802,3.4711,6.3656,4.0902,4.6779,5.3865,4.9828,5.714,5.7961,3.9223,4.0761,3.9671,5.3633,5.1014,4.9783,4.1233,3.9275,4.9149,4.2887,2.951,4.2008,5.2199,4.6841,4.5233,3.9579,5.3929,4.186,4.2859,4.6227,3.0027,4.6584,5.1711,4.8496,3.8608,5.2528,4.257,3.8785,3.9592,6.2359,5.8887,5.1362,3.9865,4.2212,4.6077,2.9111,4.2265,3.498,6.3659,4.7714,4.4414,5.203,4.3942,4.0779,5.6721,5.2627,4.9846,4.3949,4.1529,4.8246,4.0707,2.4627,5.4762,5.0318,5.8043,4.6705,4.6742,3.5756,3.8971,4.8126,4.4582,5.1893,4.2913,5.3158,6.7643,5.5691,3.5966,3.8037
